email,telefon,tip_cont,tip_colaborator,prenume,nume,denumire_afisata_contact,username_propus,judet,localitate,denumire_organizatie,denumire_legala,cui,cui_cu_ro,reg_com,adresa_firma,reprezentant_legal,judet_firma,localitate_firma,adapost_public_ong,segmente,marketing_email_viitor,nota_interna,stare
bragadiru@aspa.ro,0734301394,adapost,adprv,,,ASPA,,București,București,ASPA,,,,,București,Contact listă Ramses (0734301394),,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|aspa|bucuresti|priv,ready
contact@happyshelter.ro,0724501345,adapost,adprv,,,Happy Shelter,,Prahova,Evocasa Orizont,Happy Shelter,,,,,"Evocasa Orizont, Ploiești",Contact listă Ramses (0724501345),,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|happy shelter|evocasa orizont, ploiesti|priv",ready
contact@saveourpaws.ro,,adapost,adprv,,,Asociația Save our Paws,,Iași,Poieni,Asociația Save our Paws,,,,,"Sat Poieni, Iași",,,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia save our paws|sat poieni, iasi|priv",ready
carefordogsro@gmail.com,0743077595,adapost,adprv,,,Care for Dogs Romania,,Brașov,Brasov,Care for Dogs Romania,,,,,"Brasov, Romania",Contact listă Ramses (0743077595),,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|care for dogs romania|brasov, romania|priv",ready
arcaluinorocel@yahoo.com,0748508118,adapost,adprv,,,Arca lui Norocel,,,Câmpina,Arca lui Norocel,,,,,"Câmpina, Romania",Contact listă Ramses (0748508118),,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|arca lui norocel|campina, romania|priv",ready
contact@smeura.com,0248294466,adapost,adprv,,,Asociația Smeura,,Argeș,Smeura,Asociația Smeura,,,,,"Sat Smeura, Moșoaia, jud. Argeș",Contact listă Ramses (0248294466),,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia smeura|sat smeura, mosoaia, jud. arges|priv",ready
happytailsbrasov@gmail.com,0744573515,adapost,adprv,,,Happy Tails Brașov,,Brașov,Brașov,Happy Tails Brașov,,,,,Brașov,Contact listă Ramses (0744573515),,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|happy tails brasov|brasov|priv,ready
contact@adapostulsperanta.ro,0728899313,adapost,adprv,,,Adăpostul Speranța,,,Adăpostul Speranța,Adăpostul Speranța,,,,,"Adăpostul Speranța, Popești Leordeni",Contact listă Ramses (0728899313),,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|adapostul speranta|adapostul speranta, popesti leordeni|priv",ready
asociatiapatrulabute20@yahoo.com,0736972555,adapost,adprv,,,Asociația Patru Lăbuțe Solace For Strays,,Hunedoara,Str. Principala,Asociația Patru Lăbuțe Solace For Strays,,,,,"Str. Principala, Baru Mare, județul Hunedoara",Contact listă Ramses (0736972555),,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia patru labute solace for strays|str. principala, baru mare, judetul hunedoara|priv",ready
casaluipatrocle@gmail.com,,adapost,adprv,,,Casa lui Patrocle – Animal Rescue,,Suceava,Dărmănești,Casa lui Patrocle – Animal Rescue,,,,,"Dărmănești, sat Măriței, Jud. Suceava",,,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|casa lui patrocle – animal rescue|darmanesti, sat maritei, jud. suceava|priv",ready
forhelp@greendog.ro,0722639940,adapost,adprv,,,Green Dog,,Giurgiu,Giurgiu,Green Dog,,,,,Giurgiu,Contact listă Ramses (0722639940),,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|green dog|giurgiu|priv,ready
office@pisicipecreier.ro,0724408349,adapost,adprv,,,Pisici pe creier,,București,Sector 3,Pisici pe creier,,,,,"Sector 3, București",Contact listă Ramses (0724408349),,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|pisici pe creier|sector 3, bucuresti|priv",ready
info@sadies-dog-rescue.co.uk,,adapost,adprv,,,Sadies Dog Rescue,,Bacău,Bacău,Sadies Dog Rescue,,,,,Bacău,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|sadies dog rescue|bacau|priv,ready
miwmiw@miwmiw.org,,adapost,adprv,,,Asociația Miw Miw,,,,Asociația Miw Miw,,,,,,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia miw miw||priv,ready
asociatia.animale.hope@gmail.com,0788850289,adapost,adprv,,,Asociația Pentru Protectia Animalelor HOPE,,București,Strada Anton Bacalbaşa 7,Asociația Pentru Protectia Animalelor HOPE,,,,,"Strada Anton Bacalbaşa 7, București",Contact listă Ramses (0788850289),,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia pentru protectia animalelor hope|strada anton bacalbasa 7, bucuresti|priv",ready
,0213452740,adapost,adprv,,,Adoptiicaini.ro,,,,Adoptiicaini.ro,,,,,0213452740,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|adoptiicaini.ro|0213452740|priv,ready
savealiferomania@gmail.com,0725809423,adapost,adprv,,,Asociația Save a Life,,,,Asociația Save a Life,,,,,0725809423,Contact listă Ramses (0725809423),,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia save a life|0725809423|priv,ready
dogswithoutborders@gmail.com,,adapost,adprv,,,Dogs Without Borders,,,,Dogs Without Borders,,,,,,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|dogs without borders||priv,ready
,0755596845,adapost,adprv,,,Trio Vet,,Botoșani,Aleea Crizantemelor nr. 7,Trio Vet,,,,,"Aleea Crizantemelor nr. 7, Botoșani",,,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|trio vet|aleea crizantemelor nr. 7, botosani|priv",ready
rayanimalrescue@gmail.com,,adapost,adprv,,,Ray Animal Rescue,,Cluj,Cluj-Napoca,Ray Animal Rescue,,,,,Cluj-Napoca,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|ray animal rescue|cluj-napoca|priv,ready
,,adapost,adprv,,,K9 Friends Romania,,Gorj,Târgu Jiu,K9 Friends Romania,,,,,Târgu Jiu,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|k9 friends romania|targu jiu|priv,ready
,,adapost,adprv,,,Second Chance,,Harghita,Bălan,Second Chance,,,,,"Bălan, jud. Harghita",,,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|second chance|balan, jud. harghita|priv",ready
