email,telefon,tip_cont,tip_colaborator,prenume,nume,denumire_afisata_contact,username_propus,judet,localitate,denumire_organizatie,denumire_legala,cui,cui_cu_ro,reg_com,adresa_firma,reprezentant_legal,judet_firma,localitate_firma,adapost_public_ong,segmente,marketing_email_viitor,nota_interna,stare
,0737466108,adapost,adpub,,,ADAPOST PRIMARIA MUNICIPIULUI ALBA IULIA,,Alba,Alba Iulia,ADAPOST PRIMARIA MUNICIPIULUI ALBA IULIA,,,,,"Municipiul Alba Iulia, str. Rogozului, nr. 40",dr. Beres Vasile (0737466108),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/alba/ | fingerprint=alba|adapost primaria municipiului alba iulia|municipiul alba iulia, str. rogozului, nr. 40 | Capacitate: 160 cap.; Program: Luni-Vineri 10.00-16.00",ready
beudeanr@yahoo.com,0744550409,adapost,adprv,,,ADAPOST ASOCIATIA DE PROTECTIE A ANIMALELOR SEMPEER FIDELIS,,Alba,Cugir,ADAPOST ASOCIATIA DE PROTECTIE A ANIMALELOR SEMPEER FIDELIS,,,,,"Municipiul Cugir, Str. Serelor, nr. 4","Dr. Beudean Rodica (0744550409, )",,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/alba/ | fingerprint=alba|adapost asociatia de protectie a animalelor sempeer fidelis|municipiul cugir, str. serelor, nr. 4 | Capacitate: 181 cap.; Program: Luni – Duminica: 09.00 – 13.00",ready
,0735557501,adapost,adprv,,,ADAPOST S.C. CLINIC MARTVET S.R.L.,,Alba,Sebeş,ADAPOST S.C. CLINIC MARTVET S.R.L.,,,,,"Municipiul Sebeş, Lancram, Str. Veche f.n.",Dolha Calin (0735557501),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/alba/ | fingerprint=alba|adapost s.c. clinic martvet s.r.l.|municipiul sebes, lancram, str. veche f.n. | Capacitate: 252 cap.; Program: Luni – Vineri: 13.00 – 15.00",ready
florinfilimon6@gmail.com,0724317560,adapost,adprv,,,ADAPOST ASOCIAŢIA ARCHE NOAH TRANSILVANIA,,Alba,Vinţu de Jos,ADAPOST ASOCIAŢIA ARCHE NOAH TRANSILVANIA,,,,,"Vinţu de Jos, Str. Lucian Blaga, nr. 64","Florin Filimon (0724317560, )",,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/alba/ | fingerprint=alba|adapost asociatia arche noah transilvania|vintu de jos, str. lucian blaga, nr. 64 | Capacitate: 98 cap.; Program: Luni – Vineri: 12.00 – 14.00",ready
,0735557501,adapost,adpub,,,ADAPOST CFS PRIMARIA AIUD,,Alba,Str. Tribun Tudoran,ADAPOST CFS PRIMARIA AIUD,,,,,"Str. Tribun Tudoran, nr. 72H",Dolha Calin (0735557501),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/alba/ | fingerprint=alba|adapost cfs primaria aiud|str. tribun tudoran, nr. 72h | Capacitate: 55; Program: Luni – Vineri: 08.00 – 16.00",ready
,0724060511,adapost,adpub,,,ADAPOST PRIMARIA BLAJ,,Alba,Blaj,ADAPOST PRIMARIA BLAJ,,,,,"Blaj, str. Clujului, FN",Pacurar Claudiu (0724060511),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/alba/ | fingerprint=alba|adapost primaria blaj|blaj, str. clujului, fn | Capacitate: 25; Program: Luni – Vineri: 08.00 – 16.00",ready
adapost.caini@gcarad.ro,0257214211,adapost,adpub,,,ADAPOST GOSPODARIREA COMUNALA  ARAD  S.A.,,Arad,Arad,ADAPOST GOSPODARIREA COMUNALA  ARAD  S.A.,,,,,"Municipiul Arad, Str. Bodogului 5A","Dr. Cana Paula , Milancovici Andreea (0257214211, 0752022227; )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/arad/ | fingerprint=arad|adapost gospodarirea comunala arad s.a.|municipiul arad, str. bodogului 5a | Capacitate: 400 cap.; Program: Luni – Vineri: 08.00 – 18.00, Sambata: 09:00 – 11:00",ready
maria.voicu@smeura-mobilevet.com,0733929351,adapost,adprv,,,https://www.facebook.com/groups/1353899724763346/posts/2026758054144173/,,Argeș,Moşoaia,https://www.facebook.com/groups/1353899724763346/posts/2026758054144173/,,,,,"Comuna Moşoaia, sat Smeura, calea Dragasani nr. 286",Voicu Anamaria 0733929351,,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/arges/ | fingerprint=arges|https://www.facebook.com/groups/1353899724763346/posts/2026758054144173/|comuna mosoaia, sat smeura, calea dragasani nr. 286 | Capacitate: 7000 cap.; Program: Luni – Vineri: 08.00 – 14.00",ready
,0723399222,adapost,adprv,,,Facebook,,Argeș,Mun. Curtea de Arges,Facebook,,,,,"Mun. Curtea de Arges, str. Oborului nr 5",Lungu Razvan (0723399222),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/arges/ | fingerprint=arges|facebook|mun. curtea de arges, str. oborului nr 5 | Capacitate: 158 capete; Program: Luni – Vineri: 10.00 – 12.00",ready
adapostcainicdearges@yahoo.com,0751224900,adapost,adpub,,,Facebook,,Argeș,Curtea de Argeş,Facebook,,,,,"Municipiul Curtea de Argeş, str. Victoriei nr. 102 S",Parker Mariana – 0751224900,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/arges/ | fingerprint=arges|facebook|municipiul curtea de arges, str. victoriei nr. 102 s | Capacitate: 250 cap.; Program: Luni – Vineri: 08.00 – 16.00 Sâmbătă 08.00 – 12.00",ready
