rand_excel;judet;denumire_companie;adresa_punct_lucru;query_cautare;link_google;link_facebook_search
2;ALBA;SC Blackie Vet SRL;Str. Astra Nr. 10;SC Blackie Vet SRL cabinet veterinar ALBA Romania Str. Astra Nr. 10;https://www.google.com/search?q=SC+Blackie+Vet+SRL+cabinet+veterinar+ALBA+Romania+Str.+Astra+Nr.+10;https://www.facebook.com/search/top/?q=SC+Blackie+Vet+SRL+ALBA
3;ALBA;Ali Med Vet;Str. Clujului Nr. 38;Ali Med Vet cabinet veterinar ALBA Romania Str. Clujului Nr. 38;https://www.google.com/search?q=Ali+Med+Vet+cabinet+veterinar+ALBA+Romania+Str.+Clujului+Nr.+38;https://www.facebook.com/search/top/?q=Ali+Med+Vet+ALBA
4;ALBA;Nova Help Vet;str. Balcescu nr. 5 C;Nova Help Vet cabinet veterinar ALBA Romania str. Balcescu nr. 5 C;https://www.google.com/search?q=Nova+Help+Vet+cabinet+veterinar+ALBA+Romania+str.+Balcescu+nr.+5+C;https://www.facebook.com/search/top/?q=Nova+Help+Vet+ALBA
5;ALBA;SC VET HELP SRL;Str. Libertatii, nr. 2A;SC VET HELP SRL cabinet veterinar ALBA Romania Str. Libertatii, nr. 2A;https://www.google.com/search?q=SC+VET+HELP+SRL+cabinet+veterinar+ALBA+Romania+Str.+Libertatii%2C+nr.+2A;https://www.facebook.com/search/top/?q=SC+VET+HELP+SRL+ALBA
6;ALBA;Krista Vet;Str. Pietei, nr. 9;Krista Vet cabinet veterinar ALBA Romania Str. Pietei, nr. 9;https://www.google.com/search?q=Krista+Vet+cabinet+veterinar+ALBA+Romania+Str.+Pietei%2C+nr.+9;https://www.facebook.com/search/top/?q=Krista+Vet+ALBA
7;ALBA;Monoxil;Str. Iuliu Maniu, nr. 36;Monoxil cabinet veterinar ALBA Romania Str. Iuliu Maniu, nr. 36;https://www.google.com/search?q=Monoxil+cabinet+veterinar+ALBA+Romania+Str.+Iuliu+Maniu%2C+nr.+36;https://www.facebook.com/search/top/?q=Monoxil+ALBA
8;ALBA;SC MART VET SRL;Str. Calea Motilor, nr. 109;SC MART VET SRL cabinet veterinar ALBA Romania Str. Calea Motilor, nr. 109;https://www.google.com/search?q=SC+MART+VET+SRL+cabinet+veterinar+ALBA+Romania+Str.+Calea+Motilor%2C+nr.+109;https://www.facebook.com/search/top/?q=SC+MART+VET+SRL+ALBA
9;ALBA;Ali Med Vet;Str. Clujului, nr. 38;Ali Med Vet cabinet veterinar ALBA Romania Str. Clujului, nr. 38;https://www.google.com/search?q=Ali+Med+Vet+cabinet+veterinar+ALBA+Romania+Str.+Clujului%2C+nr.+38;https://www.facebook.com/search/top/?q=Ali+Med+Vet+ALBA
10;ALBA;SC MULTIFARM VET SRL;Str. 22 Decembrie, nr. D8‐D9;SC MULTIFARM VET SRL cabinet veterinar ALBA Romania Str. 22 Decembrie, nr. D8‐D9;https://www.google.com/search?q=SC+MULTIFARM+VET+SRL+cabinet+veterinar+ALBA+Romania+Str.+22+Decembrie%2C+nr.+D8%E2%80%90D9;https://www.facebook.com/search/top/?q=SC+MULTIFARM+VET+SRL+ALBA
11;ALBA;SC CRACIUNVETERIN SRL;Str. Ion Creanga, nr. 90;SC CRACIUNVETERIN SRL cabinet veterinar ALBA Romania Str. Ion Creanga, nr. 90;https://www.google.com/search?q=SC+CRACIUNVETERIN+SRL+cabinet+veterinar+ALBA+Romania+Str.+Ion+Creanga%2C+nr.+90;https://www.facebook.com/search/top/?q=SC+CRACIUNVETERIN+SRL+ALBA
